,,,,,Attention,Attention,Attention,Attention,Attention,Attention,Attention,Attention
,,,,,count,mean,std,min,25%,50%,75%,max
group,fronted,rounded,high,V2,,,,,,,,
fronting,0,0,0,H,600.0,0.22274116818637898,0.29641592584749543,0.0001365017960779369,0.02724836254492402,0.08739950507879257,0.2856222614645958,1.2413620948791504
fronting,0,0,0,L,600.0,0.26882810096149723,0.3064809397368874,0.0004619185929186642,0.0586257241666317,0.14238864928483963,0.3749673143029213,1.3149787187576294
fronting,0,0,1,H,600.0,0.1615891845766843,0.22413526910645057,0.0010366198839619756,0.023434085305780172,0.05980780906975269,0.20160750299692154,1.0351336002349854
fronting,0,0,1,L,600.0,0.20439786808119,0.22992711569200106,0.0012133540585637093,0.04611473064869642,0.11216583475470543,0.2548527866601944,1.0410081148147583
fronting,0,1,1,H,1200.0,0.1663750756559845,0.22991435586790665,0.0004394683928694576,0.024082934018224478,0.06391255185008049,0.19728797301650047,1.0567286014556885
fronting,0,1,1,L,1200.0,0.20765300370112527,0.23598939163183683,0.0006512735271826386,0.04626361094415188,0.11202587187290192,0.2701781541109085,1.0628864765167236
fronting,1,0,0,H,600.0,0.2064298140909523,0.191393787730697,0.006244665943086147,0.06726894341409206,0.1306902840733528,0.30634409934282303,0.8674765825271606
fronting,1,0,0,L,600.0,0.2326089812302962,0.20955809336798803,0.009663094766438007,0.07230298593640327,0.14279967546463013,0.37802349776029587,0.9119267463684082
fronting,1,0,1,H,600.0,0.18905661382557204,0.17534991593932525,0.01376002375036478,0.06041818670928478,0.1084558367729187,0.2656611353158951,0.9558705687522888
fronting,1,0,1,L,600.0,0.21589869347090523,0.19169735690701462,0.01791072078049183,0.06917929649353027,0.1293899193406105,0.327975295484066,0.9853543639183044
fronting,1,1,1,H,1200.0,0.19869691655854693,0.1869205792078726,0.005943462252616882,0.06298771686851978,0.12306124344468117,0.2788930907845497,0.9959465265274048
fronting,1,1,1,L,1200.0,0.2248444940832754,0.20281686459590323,0.012662090361118317,0.06827561371028423,0.14003077149391174,0.34118787199258804,1.0206114053726196
round_and_front,0,0,0,H,600.0,0.558240251751378,0.4903891732693628,5.601209522865247e-06,0.03559682983905077,0.5102859735488892,1.0319386720657349,1.5002849102020264
round_and_front,0,0,0,L,600.0,0.5393538723122687,0.48391826229189955,1.0037057336376165e-06,0.029626700095832348,0.4582248330116272,0.9907067865133286,1.497257947921753
round_and_front,0,0,1,H,600.0,0.4812191213804726,0.40671988263240794,3.677093263831921e-05,0.08064407482743263,0.42669877409935,0.8075044304132462,1.5193735361099243
round_and_front,0,0,1,L,600.0,0.458004149906507,0.40704363889647144,1.8052316590910777e-05,0.05216189939528704,0.3865711987018585,0.7686424106359482,1.5082651376724243
round_and_front,0,1,1,H,1200.0,0.485485863454475,0.33924086832811773,0.000943802937399596,0.15101789310574532,0.4766617566347122,0.795247346162796,1.3024499416351318
round_and_front,0,1,1,L,1200.0,0.43129068809042714,0.3494768416945182,3.2802392524899915e-05,0.0894205030053854,0.39930497109889984,0.7532535791397095,1.3098055124282837
round_and_front,1,0,0,H,600.0,0.51688704573901,0.3718355742206971,3.3311571314698085e-05,0.1050732471048832,0.5601480603218079,0.8529971837997437,1.261084794998169
round_and_front,1,0,0,L,600.0,0.512528123978794,0.37211260815630537,2.092490285576787e-05,0.09793229028582573,0.5506962239742279,0.8440047651529312,1.2610002756118774
round_and_front,1,0,1,H,600.0,0.48405758914229713,0.34038464054152223,9.826514724409208e-05,0.15007637813687325,0.5001213252544403,0.7576287537813187,1.2815862894058228
round_and_front,1,0,1,L,600.0,0.4786093145172041,0.34429177389618076,4.732344677904621e-05,0.12156024016439915,0.4868945926427841,0.7590373754501343,1.2829678058624268
round_and_front,1,1,1,H,1200.0,0.5178517038998931,0.2847582570481771,0.001828353269957006,0.2640685513615608,0.5689153671264648,0.7587365508079529,1.1210557222366333
round_and_front,1,1,1,L,1200.0,0.4724850530459177,0.3047963974365645,0.000559853739105165,0.16562869772315025,0.5065827071666718,0.7432888895273209,1.124873161315918
rounding,0,0,0,H,600.0,0.49664742223015007,0.3883298845859989,8.943364809965715e-05,0.1107839047908783,0.4698788970708847,0.8544425368309021,1.485091209411621
rounding,0,0,0,L,600.0,0.4781783270746079,0.40210203544318324,6.970747563173063e-06,0.0640825666487217,0.4320704936981201,0.8686043620109558,1.4852266311645508
rounding,0,0,1,H,600.0,0.4634851889219135,0.30245275813402694,0.0037571298889815807,0.185299813747406,0.46169793605804443,0.7117899656295776,1.2237539291381836
rounding,0,0,1,L,600.0,0.43275483807280885,0.32365187413225893,0.0001143970075645484,0.1167231947183609,0.4358031004667282,0.7152171730995178,1.223781704902649
rounding,0,1,1,H,1200.0,0.5396629932126962,0.1937485051282337,0.008272240869700909,0.43020711839199066,0.5758436322212219,0.6747656613588333,0.9525734186172485
rounding,0,1,1,L,1200.0,0.4324492964913467,0.2617314523930497,0.0005709087126888335,0.17776567488908768,0.4875485450029373,0.6542156636714935,0.9533290863037109
rounding,1,0,0,H,600.0,0.5333324954189205,0.3492546423377778,0.0012666280381381512,0.18599942699074745,0.5687369704246521,0.8499450981616974,1.2879875898361206
rounding,1,0,0,L,600.0,0.5289775882094303,0.3607928417236798,0.00045405651326291263,0.168938759714365,0.5773144960403442,0.8565034717321396,1.2880359888076782
