,,,,,Attention,Attention,Attention,Attention,Attention,Attention,Attention,Attention
,,,,,count,mean,std,min,25%,50%,75%,max
group,fronted,rounded,high,V2,,,,,,,,
fronting,0,0,0,H,600.0,0.24511174134090954,0.33858659494342497,1.2631782738026232e-05,0.023923692759126425,0.07667409628629684,0.34786297380924225,1.535221815109253
fronting,0,0,0,L,600.0,0.26866123154594485,0.37854163153283715,0.0006123127532191575,0.023135137744247913,0.08101164549589157,0.3096911236643791,1.542607307434082
fronting,0,0,1,H,600.0,0.16853608788386434,0.22556525778849568,7.778144208714366e-05,0.01644679671153426,0.06293196231126785,0.22618157044053078,0.9744377732276917
fronting,0,0,1,L,600.0,0.2038176727007279,0.2461586873279471,0.0002786117547657341,0.028788799419999123,0.08909698575735092,0.2914354056119919,1.0712488889694214
fronting,0,1,1,H,1200.0,0.1708123091574195,0.23137125917070842,2.795897853502538e-05,0.018070709891617298,0.06230549328029156,0.22029082849621773,1.0696598291397095
fronting,0,1,1,L,1200.0,0.20390000502798405,0.2538532500860313,0.0002352449664613232,0.027077230624854565,0.08023190498352051,0.28563935309648514,1.107969045639038
fronting,1,0,0,H,600.0,0.1356820908669033,0.15508664982004378,0.0006211704458110034,0.03328731283545494,0.08009715005755424,0.17580949515104294,1.0620421171188354
fronting,1,0,0,L,600.0,0.15403786079376006,0.1979936597820032,0.0008819798240438104,0.029893434140831232,0.07807570323348045,0.1860780008137226,1.1718472242355347
fronting,1,0,1,H,600.0,0.11717259632821272,0.12142648409203918,0.0005369446007534862,0.026907118503004313,0.0804394856095314,0.16919583454728127,0.8262547850608826
fronting,1,0,1,L,600.0,0.1389286905474728,0.16070128824542393,0.0006507407524622977,0.026719800662249327,0.08520058915019035,0.18883562088012695,1.073769211769104
fronting,1,1,1,H,1200.0,0.12652727677535344,0.14094904377855727,0.0004860389744862914,0.030002451967447996,0.08174002915620804,0.1689005382359028,1.0486773252487183
fronting,1,1,1,L,1200.0,0.14664756443385463,0.18280371007245091,0.000572202552575618,0.028425132390111685,0.07934373244643211,0.17605111002922058,1.1630715131759644
round_and_front,0,0,0,H,600.0,0.5014721146575531,0.5374756152623901,5.4534752962354105e-06,0.03949921578168869,0.2749856859445572,0.9069821536540985,2.105165719985962
round_and_front,0,0,0,L,600.0,0.5441309155146246,0.5400598811654395,1.0343412213842385e-05,0.05817259568721056,0.35694029927253723,0.9237463474273682,2.1665308475494385
round_and_front,0,0,1,H,600.0,0.44424110870951455,0.3932200549454021,0.00021049265342298895,0.06441834010183811,0.32779785990715027,0.7472693175077438,1.564086675643921
round_and_front,0,0,1,L,600.0,0.48486955031379086,0.4047302203674049,0.0003451775701250881,0.09594992734491825,0.42164507508277893,0.8142893016338348,1.6479487419128418
round_and_front,0,1,1,H,1200.0,0.38532329717272357,0.30648417480838197,5.433430851553567e-05,0.1083392035216093,0.3225549906492233,0.6307696849107742,1.3432389497756958
round_and_front,0,1,1,L,1200.0,0.40277538958223885,0.3145970611861026,0.0005267185042612255,0.11321612820029259,0.34140054881572723,0.6567692011594772,1.3805326223373413
round_and_front,1,0,0,H,600.0,0.49798145562393376,0.37050214021235645,0.00012370073818601668,0.14207104966044426,0.4748237133026123,0.7931021302938461,1.5705636739730835
round_and_front,1,0,0,L,600.0,0.531545231922646,0.3694901527463844,0.00014371555880643427,0.16438056156039238,0.5423403680324554,0.8264507502317429,1.574065089225769
round_and_front,1,0,1,H,600.0,0.4703008351511259,0.3139255878668725,6.797446985729039e-05,0.17841904610395432,0.4815090149641037,0.720619410276413,1.2257096767425537
round_and_front,1,0,1,L,600.0,0.49826148493641087,0.3161605649641559,8.05205199867487e-05,0.2069564424455166,0.5114675760269165,0.7495378106832504,1.291716456413269
round_and_front,1,1,1,H,1200.0,0.4167336559464456,0.24133601084705184,0.0012793762143701315,0.2154376171529293,0.42569877207279205,0.6040844917297363,0.992673397064209
round_and_front,1,1,1,L,1200.0,0.4258453241062428,0.24353191251967066,0.001580291660502553,0.23245999962091446,0.4400580823421478,0.6113158315420151,1.00437593460083
rounding,0,0,0,H,600.0,0.3586531937152707,0.43755826266360837,8.492063898302149e-06,0.027710719499737024,0.17183344066143036,0.5545420050621033,2.465240716934204
rounding,0,0,0,L,600.0,0.3715919292830949,0.45343638592352353,0.00016268313629552722,0.023123656399548054,0.1685829609632492,0.6145877838134766,2.4734933376312256
rounding,0,0,1,H,600.0,0.3263130927397651,0.29329449615361397,7.66380617278628e-05,0.07295935973525047,0.24730119109153748,0.5351737886667252,1.4814445972442627
rounding,0,0,1,L,600.0,0.3367917880101231,0.3131863214940365,7.16923750587739e-05,0.0558379078283906,0.23913344740867615,0.5742363184690475,1.4776089191436768
rounding,0,1,1,H,1200.0,0.39441485166743706,0.24254413741933764,0.0042578536085784435,0.20238744840025902,0.3694998770952225,0.5493642240762711,1.0623257160186768
rounding,0,1,1,L,1200.0,0.35786576299738954,0.2707535228886018,0.000771106278989464,0.09533552639186382,0.3388527035713196,0.5446271300315857,1.1122496128082275
rounding,1,0,0,H,600.0,0.4399461068487047,0.38667257992899556,0.00044531808816827834,0.07668581232428551,0.3297421485185623,0.7859889715909958,1.299906611442566
rounding,1,0,0,L,600.0,0.45207653268041514,0.3957172008344686,0.00047015942982397974,0.06271862424910069,0.36023521423339844,0.7894995212554932,1.390416145324707
