,V1,V2,consonant,underlying,fronted,rounded,high,group,model,Time,Attention,Loss
0,i,H,b,ib-H,1,0,1,rounding,1,0,1.0007990598678589,0.020096153020858765
1,a,H,b,ab-H,0,0,0,rounding,1,0,1.0989058017730713,0.0276108980178833
2,e,H,b,eb-H,1,0,0,rounding,1,0,1.1003373861312866,0.0019290745258331299
3,o,H,b,ob-H,0,1,1,rounding,1,0,0.6233742833137512,0.018832653760910034
4,u,H,b,ub-H,0,1,1,rounding,1,0,0.5810142755508423,0.02833789587020874
5,y,H,b,yb-H,1,1,1,rounding,1,0,0.8330157399177551,0.02341216802597046
6,ø,H,b,øb-H,1,1,1,rounding,1,0,0.8136332035064697,0.025766104459762573
7,ɯ,H,b,ɯb-H,0,0,1,rounding,1,0,0.7351584434509277,0.03514660894870758
8,i,L,b,ib-L,1,0,1,rounding,1,0,1.0227398872375488,0.02060726284980774
9,a,L,b,ab-L,0,0,0,rounding,1,0,1.1383343935012817,0.033863723278045654
10,e,L,b,eb-L,1,0,0,rounding,1,0,1.1209622621536255,0.006509751081466675
11,o,L,b,ob-L,0,1,1,rounding,1,0,0.654423177242279,0.017148494720458984
12,u,L,b,ub-L,0,1,1,rounding,1,0,0.6307057738304138,0.03164944052696228
13,y,L,b,yb-L,1,1,1,rounding,1,0,0.8605233430862427,0.02182719111442566
14,ø,L,b,øb-L,1,1,1,rounding,1,0,0.8552400469779968,0.0246543288230896
15,ɯ,L,b,ɯb-L,0,0,1,rounding,1,0,0.7686664462089539,0.03520956635475159
16,i,H,g,ig-H,1,0,1,rounding,1,0,1.0033860206604004,0.0024817585945129395
17,a,H,g,ag-H,0,0,0,rounding,1,0,1.086585521697998,0.03944408893585205
18,e,H,g,eg-H,1,0,0,rounding,1,0,0.942676842212677,0.013033777475357056
19,o,H,g,og-H,0,1,1,rounding,1,0,0.7265924215316772,0.022574186325073242
20,u,H,g,ug-H,0,1,1,rounding,1,0,0.8088743686676025,0.0245305597782135
21,y,H,g,yg-H,1,1,1,rounding,1,0,0.8923019170761108,0.012259185314178467
22,ø,H,g,øg-H,1,1,1,rounding,1,0,0.8608079552650452,0.027547895908355713
23,ɯ,H,g,ɯg-H,0,0,1,rounding,1,0,0.844654381275177,0.02107885479927063
24,i,L,g,ig-L,1,0,1,rounding,1,0,1.0185933113098145,0.0024891197681427
25,a,L,g,ag-L,0,0,0,rounding,1,0,1.177664875984192,0.05096551775932312
26,e,L,g,eg-L,1,0,0,rounding,1,0,0.9748418927192688,0.010537862777709961
27,o,L,g,og-L,0,1,1,rounding,1,0,0.7512646317481995,0.025207966566085815
28,u,L,g,ug-L,0,1,1,rounding,1,0,0.8219500184059143,0.023947030305862427
29,y,L,g,yg-L,1,1,1,rounding,1,0,0.9069808721542358,0.012933850288391113
30,ø,L,g,øg-L,1,1,1,rounding,1,0,0.8818174004554749,0.03027808666229248
31,ɯ,L,g,ɯg-L,0,0,1,rounding,1,0,0.8650418519973755,0.021788090467453003
32,i,H,d,id-H,1,0,1,rounding,1,0,0.6092646718025208,0.026391565799713135
33,a,H,d,ad-H,0,0,0,rounding,1,0,0.6949167847633362,0.02741101384162903
34,e,H,d,ed-H,1,0,0,rounding,1,0,0.7752681970596313,0.005745947360992432
35,o,H,d,od-H,0,1,1,rounding,1,0,0.4986804127693176,0.013021916151046753
36,u,H,d,ud-H,0,1,1,rounding,1,0,0.5940160155296326,0.02199229598045349
37,y,H,d,yd-H,1,1,1,rounding,1,0,0.6809478998184204,0.008749127388000488
38,ø,H,d,ød-H,1,1,1,rounding,1,0,0.6034510135650635,0.018280625343322754
39,ɯ,H,d,ɯd-H,0,0,1,rounding,1,0,0.6007228493690491,0.030111968517303467
40,i,L,d,id-L,1,0,1,rounding,1,0,0.6607856154441833,0.021365433931350708
41,a,L,d,ad-L,0,0,0,rounding,1,0,0.7742577195167542,0.02638217806816101
42,e,L,d,ed-L,1,0,0,rounding,1,0,0.82333904504776,0.004075556993484497
43,o,L,d,od-L,0,1,1,rounding,1,0,0.5537382960319519,0.012078911066055298
44,u,L,d,ud-L,0,1,1,rounding,1,0,0.6276821494102478,0.025616317987442017
45,y,L,d,yd-L,1,1,1,rounding,1,0,0.7041894793510437,0.007913202047348022
46,ø,L,d,ød-L,1,1,1,rounding,1,0,0.6357588768005371,0.023948311805725098
47,ɯ,L,d,ɯd-L,0,0,1,rounding,1,0,0.6206573247909546,0.021339058876037598
48,i,H,b,ib-H,1,0,1,rounding,2,0,0.9883518815040588,0.016414135694503784
49,a,H,b,ab-H,0,0,0,rounding,2,0,1.0632532835006714,0.04120954871177673
50,e,H,b,eb-H,1,0,0,rounding,2,0,0.9925556182861328,0.007210731506347656
51,o,H,b,ob-H,0,1,1,rounding,2,0,0.8275015354156494,0.006633877754211426
52,u,H,b,ub-H,0,1,1,rounding,2,0,0.8042675256729126,0.01105692982673645
53,y,H,b,yb-H,1,1,1,rounding,2,0,0.815205991268158,0.03184673190116882
54,ø,H,b,øb-H,1,1,1,rounding,2,0,0.830534040927887,0.02553001046180725
55,ɯ,H,b,ɯb-H,0,0,1,rounding,2,0,0.924708902835846,0.019028842449188232
56,i,L,b,ib-L,1,0,1,rounding,2,0,1.0027223825454712,0.031131625175476074
57,a,L,b,ab-L,0,0,0,rounding,2,0,1.0658103227615356,0.029923200607299805
58,e,L,b,eb-L,1,0,0,rounding,2,0,1.0076215267181396,0.022020727396011353
59,o,L,b,ob-L,0,1,1,rounding,2,0,0.832409679889679,0.009053260087966919
60,u,L,b,ub-L,0,1,1,rounding,2,0,0.8091668486595154,0.015885651111602783
61,y,L,b,yb-L,1,1,1,rounding,2,0,0.8231499791145325,0.039416879415512085
62,ø,L,b,øb-L,1,1,1,rounding,2,0,0.837361752986908,0.032893210649490356
63,ɯ,L,b,ɯb-L,0,0,1,rounding,2,0,0.9339250326156616,0.022238850593566895
64,i,H,g,ig-H,1,0,1,rounding,2,0,0.5259832143783569,0.01841944456100464
65,a,H,g,ag-H,0,0,0,rounding,2,0,0.746458113193512,0.024729281663894653
66,e,H,g,eg-H,1,0,0,rounding,2,0,0.52467280626297,0.02230304479598999
67,o,H,g,og-H,0,1,1,rounding,2,0,0.7088044881820679,0.012915760278701782
68,u,H,g,ug-H,0,1,1,rounding,2,0,0.6100601553916931,0.008686572313308716
69,y,H,g,yg-H,1,1,1,rounding,2,0,0.751209557056427,0.0167522132396698
70,ø,H,g,øg-H,1,1,1,rounding,2,0,0.6994232535362244,0.006513029336929321
71,ɯ,H,g,ɯg-H,0,0,1,rounding,2,0,0.7177090644836426,0.009148597717285156
72,i,L,g,ig-L,1,0,1,rounding,2,0,0.6095255613327026,0.016260981559753418
73,a,L,g,ag-L,0,0,0,rounding,2,0,0.8230368494987488,0.0263403058052063
74,e,L,g,eg-L,1,0,0,rounding,2,0,0.6079493165016174,0.020562082529067993
75,o,L,g,og-L,0,1,1,rounding,2,0,0.7185149788856506,0.01448395848274231
76,u,L,g,ug-L,0,1,1,rounding,2,0,0.620780348777771,0.006062626838684082
77,y,L,g,yg-L,1,1,1,rounding,2,0,0.7590500116348267,0.012870252132415771
78,ø,L,g,øg-L,1,1,1,rounding,2,0,0.7085596919059753,0.014735430479049683
79,ɯ,L,g,ɯg-L,0,0,1,rounding,2,0,0.7801007628440857,0.013620167970657349
80,i,H,d,id-H,1,0,1,rounding,2,0,0.42082875967025757,0.012812435626983643
81,a,H,d,ad-H,0,0,0,rounding,2,0,0.44171449542045593,0.025650978088378906
82,e,H,d,ed-H,1,0,0,rounding,2,0,0.36268875002861023,0.005847156047821045
83,o,H,d,od-H,0,1,1,rounding,2,0,0.6643453240394592,0.011504590511322021
84,u,H,d,ud-H,0,1,1,rounding,2,0,0.6608860492706299,0.0025750398635864258
85,y,H,d,yd-H,1,1,1,rounding,2,0,0.6210252642631531,0.009180396795272827
86,ø,H,d,ød-H,1,1,1,rounding,2,0,0.6967418789863586,0.011443555355072021
87,ɯ,H,d,ɯd-H,0,0,1,rounding,2,0,0.6199532747268677,0.00526699423789978
88,i,L,d,id-L,1,0,1,rounding,2,0,0.5016314387321472,0.011893540620803833
89,a,L,d,ad-L,0,0,0,rounding,2,0,0.5348787903785706,0.038771092891693115
90,e,L,d,ed-L,1,0,0,rounding,2,0,0.4559714198112488,0.004901796579360962
91,o,L,d,od-L,0,1,1,rounding,2,0,0.6759175062179565,0.009192496538162231
92,u,L,d,ud-L,0,1,1,rounding,2,0,0.6720189452171326,0.002704828977584839
93,y,L,d,yd-L,1,1,1,rounding,2,0,0.6310625672340393,0.006740212440490723
94,ø,L,d,ød-L,1,1,1,rounding,2,0,0.7055143117904663,0.014474272727966309
95,ɯ,L,d,ɯd-L,0,0,1,rounding,2,0,0.687872588634491,0.0038387179374694824
96,i,H,b,ib-H,1,0,1,rounding,3,0,0.8752236366271973,0.009638011455535889
97,a,H,b,ab-H,0,0,0,rounding,3,0,0.8004940152168274,0.032422393560409546
98,e,H,b,eb-H,1,0,0,rounding,3,0,0.8001964092254639,0.012506425380706787
99,o,H,b,ob-H,0,1,1,rounding,3,0,0.4773790240287781,0.024134039878845215
100,u,H,b,ub-H,0,1,1,rounding,3,0,0.5352169275283813,0.010860800743103027
101,y,H,b,yb-H,1,1,1,rounding,3,0,0.5381625890731812,0.011226773262023926
102,ø,H,b,øb-H,1,1,1,rounding,3,0,0.5383222103118896,0.021730422973632812
103,ɯ,H,b,ɯb-H,0,0,1,rounding,3,0,0.8850769996643066,0.013794958591461182
104,i,L,b,ib-L,1,0,1,rounding,3,0,0.9574288129806519,0.02317860722541809
105,a,L,b,ab-L,0,0,0,rounding,3,0,0.9342914819717407,0.03521013259887695
106,e,L,b,eb-L,1,0,0,rounding,3,0,0.9021632075309753,0.013985782861709595
107,o,L,b,ob-L,0,1,1,rounding,3,0,0.5218639373779297,0.006380230188369751
108,u,L,b,ub-L,0,1,1,rounding,3,0,0.5610531568527222,0.022902458906173706
109,y,L,b,yb-L,1,1,1,rounding,3,0,0.5904834866523743,0.022628724575042725
110,ø,L,b,øb-L,1,1,1,rounding,3,0,0.6048721075057983,0.0077103376388549805
111,ɯ,L,b,ɯb-L,0,0,1,rounding,3,0,0.9304972290992737,0.01239866018295288
112,i,H,g,ig-H,1,0,1,rounding,3,0,0.506153404712677,0.019976139068603516
113,a,H,g,ag-H,0,0,0,rounding,3,0,0.6430098414421082,0.009620428085327148
114,e,H,g,eg-H,1,0,0,rounding,3,0,0.4775138199329376,0.004626601934432983
115,o,H,g,og-H,0,1,1,rounding,3,0,0.5800638198852539,0.0422096848487854
116,u,H,g,ug-H,0,1,1,rounding,3,0,0.5402000546455383,0.034551769495010376
117,y,H,g,yg-H,1,1,1,rounding,3,0,0.5965022444725037,0.01915973424911499
118,ø,H,g,øg-H,1,1,1,rounding,3,0,0.6372784972190857,0.03664189577102661
119,ɯ,H,g,ɯg-H,0,0,1,rounding,3,0,0.4529968500137329,0.010922670364379883
120,i,L,g,ig-L,1,0,1,rounding,3,0,0.5787534713745117,0.01967674493789673
121,a,L,g,ag-L,0,0,0,rounding,3,0,0.6960464119911194,0.030642271041870117
122,e,L,g,eg-L,1,0,0,rounding,3,0,0.5535116791725159,0.006753683090209961
123,o,L,g,og-L,0,1,1,rounding,3,0,0.5897448062896729,0.030396312475204468
124,u,L,g,ug-L,0,1,1,rounding,3,0,0.5503782629966736,0.020750343799591064
125,y,L,g,yg-L,1,1,1,rounding,3,0,0.6116630434989929,0.0030538737773895264
126,ø,L,g,øg-L,1,1,1,rounding,3,0,0.6584324240684509,0.021486103534698486
127,ɯ,L,g,ɯg-L,0,0,1,rounding,3,0,0.4926559031009674,0.00831100344657898
128,i,H,d,id-H,1,0,1,rounding,3,0,0.44594988226890564,0.00676649808883667
129,a,H,d,ad-H,0,0,0,rounding,3,0,0.4422868490219116,0.02445325255393982
130,e,H,d,ed-H,1,0,0,rounding,3,0,0.43623048067092896,0.005961894989013672
131,o,H,d,od-H,0,1,1,rounding,3,0,0.47918152809143066,0.011233717203140259
132,u,H,d,ud-H,0,1,1,rounding,3,0,0.48732271790504456,0.017708033323287964
133,y,H,d,yd-H,1,1,1,rounding,3,0,0.5143266916275024,0.014236360788345337
134,ø,H,d,ød-H,1,1,1,rounding,3,0,0.5560455322265625,0.016109317541122437
135,ɯ,H,d,ɯd-H,0,0,1,rounding,3,0,0.4571222960948944,0.014699369668960571
136,i,L,d,id-L,1,0,1,rounding,3,0,0.47315555810928345,0.014572739601135254
137,a,L,d,ad-L,0,0,0,rounding,3,0,0.4949048161506653,0.03003692626953125
138,e,L,d,ed-L,1,0,0,rounding,3,0,0.4882834255695343,0.010540544986724854
139,o,L,d,od-L,0,1,1,rounding,3,0,0.49989983439445496,0.020442426204681396
140,u,L,d,ud-L,0,1,1,rounding,3,0,0.4914146363735199,0.025982677936553955
141,y,L,d,yd-L,1,1,1,rounding,3,0,0.5103644132614136,0.016410499811172485
142,ø,L,d,ød-L,1,1,1,rounding,3,0,0.5610864162445068,0.019519776105880737
143,ɯ,L,d,ɯd-L,0,0,1,rounding,3,0,0.4701732397079468,0.01992577314376831
144,i,H,b,ib-H,1,0,1,rounding,4,0,0.893243670463562,0.021241366863250732
145,a,H,b,ab-H,0,0,0,rounding,4,0,0.9151160717010498,0.02108865976333618
146,e,H,b,eb-H,1,0,0,rounding,4,0,0.8518857955932617,0.026316970586776733
147,o,H,b,ob-H,0,1,1,rounding,4,0,0.6727709174156189,0.018834978342056274
148,u,H,b,ub-H,0,1,1,rounding,4,0,0.6394516229629517,0.018584877252578735
149,y,H,b,yb-H,1,1,1,rounding,4,0,0.6769294142723083,0.0018055737018585205
150,ø,H,b,øb-H,1,1,1,rounding,4,0,0.733122706413269,0.019303083419799805
151,ɯ,H,b,ɯb-H,0,0,1,rounding,4,0,0.8763229846954346,0.030023962259292603
152,i,L,b,ib-L,1,0,1,rounding,4,0,0.9134963154792786,0.003708750009536743
153,a,L,b,ab-L,0,0,0,rounding,4,0,0.9197401404380798,0.01596975326538086
154,e,L,b,eb-L,1,0,0,rounding,4,0,0.8672833442687988,0.010833054780960083
155,o,L,b,ob-L,0,1,1,rounding,4,0,0.6829584836959839,0.023190200328826904
156,u,L,b,ub-L,0,1,1,rounding,4,0,0.6541464924812317,0.028145015239715576
157,y,L,b,yb-L,1,1,1,rounding,4,0,0.712886393070221,0.01630738377571106
158,ø,L,b,øb-L,1,1,1,rounding,4,0,0.7590304613113403,0.021396368741989136
159,ɯ,L,b,ɯb-L,0,0,1,rounding,4,0,0.8895962834358215,0.02766391634941101
160,i,H,g,ig-H,1,0,1,rounding,4,0,0.9629687666893005,0.012298345565795898
161,a,H,g,ag-H,0,0,0,rounding,4,0,0.9085839986801147,0.025334864854812622
162,e,H,g,eg-H,1,0,0,rounding,4,0,0.9636197686195374,0.014529019594192505
163,o,H,g,og-H,0,1,1,rounding,4,0,0.6665012240409851,0.014104962348937988
164,u,H,g,ug-H,0,1,1,rounding,4,0,0.6629745960235596,0.02008843421936035
165,y,H,g,yg-H,1,1,1,rounding,4,0,0.7081778645515442,0.008436262607574463
166,ø,H,g,øg-H,1,1,1,rounding,4,0,0.7006022334098816,0.030862271785736084
167,ɯ,H,g,ɯg-H,0,0,1,rounding,4,0,0.8260352611541748,0.02065563201904297
168,i,L,g,ig-L,1,0,1,rounding,4,0,0.9871114492416382,0.006638079881668091
169,a,L,g,ag-L,0,0,0,rounding,4,0,0.9476571083068848,0.040459394454956055
170,e,L,g,eg-L,1,0,0,rounding,4,0,0.9930979013442993,0.007433980703353882
171,o,L,g,og-L,0,1,1,rounding,4,0,0.6777002215385437,0.016245156526565552
172,u,L,g,ug-L,0,1,1,rounding,4,0,0.6722400784492493,0.0140342116355896
173,y,L,g,yg-L,1,1,1,rounding,4,0,0.717997670173645,0.01130703091621399
174,ø,L,g,øg-L,1,1,1,rounding,4,0,0.7098595499992371,0.024529457092285156
175,ɯ,L,g,ɯg-L,0,0,1,rounding,4,0,0.8492261171340942,0.011815875768661499
176,i,H,d,id-H,1,0,1,rounding,4,0,0.823197603225708,0.017733395099639893
177,a,H,d,ad-H,0,0,0,rounding,4,0,1.01280677318573,0.024338215589523315
178,e,H,d,ed-H,1,0,0,rounding,4,0,0.9462236762046814,0.007293194532394409
179,o,H,d,od-H,0,1,1,rounding,4,0,0.6039112210273743,0.013205856084823608
180,u,H,d,ud-H,0,1,1,rounding,4,0,0.6587250828742981,0.013818919658660889
181,y,H,d,yd-H,1,1,1,rounding,4,0,0.6599353551864624,0.015936851501464844
182,ø,H,d,ød-H,1,1,1,rounding,4,0,0.6688375473022461,0.009783267974853516
183,ɯ,H,d,ɯd-H,0,0,1,rounding,4,0,0.9008879065513611,0.028725415468215942
184,i,L,d,id-L,1,0,1,rounding,4,0,0.8428837656974792,0.013908028602600098
185,a,L,d,ad-L,0,0,0,rounding,4,0,1.0200631618499756,0.023173749446868896
186,e,L,d,ed-L,1,0,0,rounding,4,0,0.9667927026748657,0.011577695608139038
187,o,L,d,od-L,0,1,1,rounding,4,0,0.6060525178909302,0.01686689257621765
188,u,L,d,ud-L,0,1,1,rounding,4,0,0.662004828453064,0.01767098903656006
189,y,L,d,yd-L,1,1,1,rounding,4,0,0.6662519574165344,0.01681646704673767
190,ø,L,d,ød-L,1,1,1,rounding,4,0,0.6731935739517212,0.010349512100219727
191,ɯ,L,d,ɯd-L,0,0,1,rounding,4,0,0.9177069664001465,0.027709007263183594
192,i,H,b,ib-H,1,0,1,rounding,5,0,0.9787212014198303,0.049709901213645935
193,a,H,b,ab-H,0,0,0,rounding,5,0,1.0405992269515991,0.024773836135864258
194,e,H,b,eb-H,1,0,0,rounding,5,0,0.9422948360443115,0.026576191186904907
195,o,H,b,ob-H,0,1,1,rounding,5,0,0.7081237435340881,0.0021650493144989014
196,u,H,b,ub-H,0,1,1,rounding,5,0,0.7551223039627075,0.02414417266845703
197,y,H,b,yb-H,1,1,1,rounding,5,0,0.8127375841140747,0.01119270920753479
198,ø,H,b,øb-H,1,1,1,rounding,5,0,0.8278265595436096,0.013435125350952148
199,ɯ,H,b,ɯb-H,0,0,1,rounding,5,0,0.924563467502594,0.058187007904052734
200,i,L,b,ib-L,1,0,1,rounding,5,0,0.9799026846885681,0.04435397684574127
201,a,L,b,ab-L,0,0,0,rounding,5,0,1.0409586429595947,0.025486379861831665
202,e,L,b,eb-L,1,0,0,rounding,5,0,0.9431174397468567,0.019692182540893555
203,o,L,b,ob-L,0,1,1,rounding,5,0,0.7078954577445984,0.0010203421115875244
204,u,L,b,ub-L,0,1,1,rounding,5,0,0.7552968859672546,0.022099047899246216
205,y,L,b,yb-L,1,1,1,rounding,5,0,0.8140391111373901,0.0065472424030303955
206,ø,L,b,øb-L,1,1,1,rounding,5,0,0.8282793164253235,0.016569674015045166
207,ɯ,L,b,ɯb-L,0,0,1,rounding,5,0,0.92555171251297,0.05585940182209015
208,i,H,g,ig-H,1,0,1,rounding,5,0,0.9312585592269897,0.012936830520629883
209,a,H,g,ag-H,0,0,0,rounding,5,0,1.0431002378463745,0.0730859637260437
210,e,H,g,eg-H,1,0,0,rounding,5,0,1.0249838829040527,0.0068919360637664795
211,o,H,g,og-H,0,1,1,rounding,5,0,0.7799809575080872,0.03368330001831055
212,u,H,g,ug-H,0,1,1,rounding,5,0,0.7848120927810669,0.007203847169876099
213,y,H,g,yg-H,1,1,1,rounding,5,0,0.8148921132087708,0.0005989670753479004
