,V1,V2,consonant,underlying,fronted,rounded,high,group,model,Time,Attention,Loss
0,i,H,b,ib-H,1,0,1,rounding,1,0,0.44075947999954224,0.0028351428918540478
1,a,H,b,ab-H,0,0,0,rounding,1,0,0.30009695887565613,0.004079194739460945
2,e,H,b,eb-H,1,0,0,rounding,1,0,0.45308464765548706,0.001881252508610487
3,o,H,b,ob-H,0,1,1,rounding,1,0,0.335845410823822,0.0001405327784596011
4,u,H,b,ub-H,0,1,1,rounding,1,0,0.32687297463417053,0.0011788662523031235
5,y,H,b,yb-H,1,1,1,rounding,1,0,0.4431705176830292,0.0002214675332652405
6,ø,H,b,øb-H,1,1,1,rounding,1,0,0.48301973938941956,5.2132225391687825e-05
7,ɯ,H,b,ɯb-H,0,0,1,rounding,1,0,0.34677278995513916,0.0009707476128824055
8,i,L,b,ib-L,1,0,1,rounding,1,0,0.5145052671432495,0.0015343345003202558
9,a,L,b,ab-L,0,0,0,rounding,1,0,0.4964001476764679,0.00431890320032835
10,e,L,b,eb-L,1,0,0,rounding,1,0,0.53209388256073,0.0016693739453330636
11,o,L,b,ob-L,0,1,1,rounding,1,0,0.45577237010002136,0.0006208025151863694
12,u,L,b,ub-L,0,1,1,rounding,1,0,0.42275047302246094,0.002417369745671749
13,y,L,b,yb-L,1,1,1,rounding,1,0,0.520438015460968,0.0003994911094196141
14,ø,L,b,øb-L,1,1,1,rounding,1,0,0.5455983281135559,0.00013666482118424028
15,ɯ,L,b,ɯb-L,0,0,1,rounding,1,0,0.44154465198516846,0.000717857968993485
16,i,H,g,ig-H,1,0,1,rounding,1,0,0.6069254279136658,0.0009847362525761127
17,a,H,g,ag-H,0,0,0,rounding,1,0,0.8914604783058167,0.003082273993641138
18,e,H,g,eg-H,1,0,0,rounding,1,0,0.6240494847297668,7.078448834363371e-05
19,o,H,g,og-H,0,1,1,rounding,1,0,0.5033581256866455,0.00048457199591211975
20,u,H,g,ug-H,0,1,1,rounding,1,0,0.4783515930175781,5.952968786004931e-05
21,y,H,g,yg-H,1,1,1,rounding,1,0,0.53020179271698,0.00044024497037753463
22,ø,H,g,øg-H,1,1,1,rounding,1,0,0.4982089400291443,0.0003787938039749861
23,ɯ,H,g,ɯg-H,0,0,1,rounding,1,0,0.558383047580719,0.0011495886137709022
24,i,L,g,ig-L,1,0,1,rounding,1,0,0.6259174346923828,0.00013316835975274444
25,a,L,g,ag-L,0,0,0,rounding,1,0,0.851996898651123,0.006552647799253464
26,e,L,g,eg-L,1,0,0,rounding,1,0,0.6233919858932495,0.0003017339331563562
27,o,L,g,og-L,0,1,1,rounding,1,0,0.5041590929031372,0.0006224800599738955
28,u,L,g,ug-L,0,1,1,rounding,1,0,0.5028749704360962,8.480851829517633e-05
29,y,L,g,yg-L,1,1,1,rounding,1,0,0.5469182729721069,0.00010492606816114858
30,ø,L,g,øg-L,1,1,1,rounding,1,0,0.49741244316101074,0.00012091083044651896
31,ɯ,L,g,ɯg-L,0,0,1,rounding,1,0,0.5876334309577942,0.0004353028198238462
32,i,H,d,id-H,1,0,1,rounding,1,0,0.6399791240692139,8.54182944749482e-05
33,a,H,d,ad-H,0,0,0,rounding,1,0,0.498482882976532,0.003962856717407703
34,e,H,d,ed-H,1,0,0,rounding,1,0,0.5802214741706848,0.00017715321155264974
35,o,H,d,od-H,0,1,1,rounding,1,0,0.33800289034843445,0.0002494269865565002
36,u,H,d,ud-H,0,1,1,rounding,1,0,0.3549638092517853,0.0007064614910632372
37,y,H,d,yd-H,1,1,1,rounding,1,0,0.48256996273994446,0.00030041535501368344
38,ø,H,d,ød-H,1,1,1,rounding,1,0,0.45149287581443787,0.0017948540626093745
39,ɯ,H,d,ɯd-H,0,0,1,rounding,1,0,0.4343905746936798,0.0008660765597596765
40,i,L,d,id-L,1,0,1,rounding,1,0,0.7184032797813416,1.7071046386263333e-05
41,a,L,d,ad-L,0,0,0,rounding,1,0,0.605247437953949,0.011130048893392086
42,e,L,d,ed-L,1,0,0,rounding,1,0,0.6353705525398254,0.0006005829200148582
43,o,L,d,od-L,0,1,1,rounding,1,0,0.39761871099472046,5.1899958634749055e-05
44,u,L,d,ud-L,0,1,1,rounding,1,0,0.43069422245025635,0.002553844591602683
45,y,L,d,yd-L,1,1,1,rounding,1,0,0.5503870248794556,0.00012745632557198405
46,ø,L,d,ød-L,1,1,1,rounding,1,0,0.49916872382164,0.0007446209201589227
47,ɯ,L,d,ɯd-L,0,0,1,rounding,1,0,0.5432448387145996,0.0007928839768283069
48,i,H,b,ib-H,1,0,1,rounding,2,0,0.5618934631347656,0.0002778004272840917
49,a,H,b,ab-H,0,0,0,rounding,2,0,0.4985259771347046,0.00143142300657928
50,e,H,b,eb-H,1,0,0,rounding,2,0,0.5239123702049255,7.665876910323277e-05
51,o,H,b,ob-H,0,1,1,rounding,2,0,0.47486260533332825,0.0014717624289914966
52,u,H,b,ub-H,0,1,1,rounding,2,0,0.5556196570396423,0.0034522609785199165
53,y,H,b,yb-H,1,1,1,rounding,2,0,0.6424526572227478,0.0012046286137774587
54,ø,H,b,øb-H,1,1,1,rounding,2,0,0.6105953454971313,0.00022578109928872436
55,ɯ,H,b,ɯb-H,0,0,1,rounding,2,0,0.6211366057395935,7.025663217063993e-05
56,i,L,b,ib-L,1,0,1,rounding,2,0,0.6532378792762756,0.00010799059236887842
57,a,L,b,ab-L,0,0,0,rounding,2,0,0.5712388157844543,0.0019089833367615938
58,e,L,b,eb-L,1,0,0,rounding,2,0,0.605038583278656,0.00010611808829708025
59,o,L,b,ob-L,0,1,1,rounding,2,0,0.521397054195404,0.0006665852852165699
60,u,L,b,ub-L,0,1,1,rounding,2,0,0.6056863069534302,0.0018138480372726917
61,y,L,b,yb-L,1,1,1,rounding,2,0,0.669823944568634,0.0003688829601742327
62,ø,L,b,øb-L,1,1,1,rounding,2,0,0.6166560053825378,0.00011044947314076126
63,ɯ,L,b,ɯb-L,0,0,1,rounding,2,0,0.7099658846855164,0.0006469148793257773
64,i,H,g,ig-H,1,0,1,rounding,2,0,0.5442638397216797,0.0008311291458085179
65,a,H,g,ag-H,0,0,0,rounding,2,0,0.6625744700431824,0.00035898812348023057
66,e,H,g,eg-H,1,0,0,rounding,2,0,0.6489935517311096,0.0005707945092581213
67,o,H,g,og-H,0,1,1,rounding,2,0,0.5368444919586182,0.0004793978005181998
68,u,H,g,ug-H,0,1,1,rounding,2,0,0.4639647305011749,1.9774392058025114e-05
69,y,H,g,yg-H,1,1,1,rounding,2,0,0.5268344283103943,0.00011000132508343086
70,ø,H,g,øg-H,1,1,1,rounding,2,0,0.647104024887085,0.000991439912468195
71,ɯ,H,g,ɯg-H,0,0,1,rounding,2,0,0.33873093128204346,0.00011346339306328446
72,i,L,g,ig-L,1,0,1,rounding,2,0,0.6463298201560974,0.0004777857684530318
73,a,L,g,ag-L,0,0,0,rounding,2,0,0.9400766491889954,0.00034207175485789776
74,e,L,g,eg-L,1,0,0,rounding,2,0,0.886816143989563,0.0005841665551997721
75,o,L,g,og-L,0,1,1,rounding,2,0,0.5704179406166077,0.0011291670380160213
76,u,L,g,ug-L,0,1,1,rounding,2,0,0.4747278690338135,0.00029499843367375433
77,y,L,g,yg-L,1,1,1,rounding,2,0,0.5299136638641357,0.0005187635542824864
78,ø,L,g,øg-L,1,1,1,rounding,2,0,0.6856867671012878,0.0016667561139911413
79,ɯ,L,g,ɯg-L,0,0,1,rounding,2,0,0.4525286853313446,0.0004834354913327843
80,i,H,d,id-H,1,0,1,rounding,2,0,0.5638015270233154,0.0035305065102875233
81,a,H,d,ad-H,0,0,0,rounding,2,0,0.5963420867919922,0.0017456969944760203
82,e,H,d,ed-H,1,0,0,rounding,2,0,0.6524782180786133,0.004220288712531328
83,o,H,d,od-H,0,1,1,rounding,2,0,0.2581932246685028,0.0023824796080589294
84,u,H,d,ud-H,0,1,1,rounding,2,0,0.5674387812614441,0.002902356442064047
85,y,H,d,yd-H,1,1,1,rounding,2,0,0.5467278957366943,0.0001389946846757084
86,ø,H,d,ød-H,1,1,1,rounding,2,0,0.4838230609893799,0.0006311110919341445
87,ɯ,H,d,ɯd-H,0,0,1,rounding,2,0,0.27400997281074524,0.00018036412075161934
88,i,L,d,id-L,1,0,1,rounding,2,0,0.7323988676071167,0.001552914036437869
89,a,L,d,ad-L,0,0,0,rounding,2,0,0.7175766825675964,0.0003206479304935783
90,e,L,d,ed-L,1,0,0,rounding,2,0,0.879625678062439,0.0018628010293468833
91,o,L,d,od-L,0,1,1,rounding,2,0,0.27394384145736694,0.0004515037580858916
92,u,L,d,ud-L,0,1,1,rounding,2,0,0.5019455552101135,6.806726014474407e-05
93,y,L,d,yd-L,1,1,1,rounding,2,0,0.5305997133255005,0.0015593593707308173
94,ø,L,d,ød-L,1,1,1,rounding,2,0,0.5111897587776184,0.0012434683740139008
95,ɯ,L,d,ɯd-L,0,0,1,rounding,2,0,0.4226452112197876,0.0013446894008666277
96,i,H,b,ib-H,1,0,1,rounding,3,0,0.451290488243103,0.0005298631731420755
97,a,H,b,ab-H,0,0,0,rounding,3,0,0.27258065342903137,0.00025414174888283014
98,e,H,b,eb-H,1,0,0,rounding,3,0,0.37186652421951294,0.0007465880480594933
99,o,H,b,ob-H,0,1,1,rounding,3,0,0.34120675921440125,0.000884669367223978
100,u,H,b,ub-H,0,1,1,rounding,3,0,0.3293192982673645,0.0026509270537644625
101,y,H,b,yb-H,1,1,1,rounding,3,0,0.42693108320236206,0.000636368989944458
102,ø,H,b,øb-H,1,1,1,rounding,3,0,0.3859126567840576,0.0005134917446412146
103,ɯ,H,b,ɯb-H,0,0,1,rounding,3,0,0.4528903663158417,0.0012243672972545028
104,i,L,b,ib-L,1,0,1,rounding,3,0,0.5587711334228516,0.0008856008062139153
105,a,L,b,ab-L,0,0,0,rounding,3,0,0.2933911979198456,0.00020659570873249322
106,e,L,b,eb-L,1,0,0,rounding,3,0,0.425518274307251,0.0005317339673638344
107,o,L,b,ob-L,0,1,1,rounding,3,0,0.37458324432373047,0.00033221591729670763
108,u,L,b,ub-L,0,1,1,rounding,3,0,0.3664149343967438,0.0009184789378196001
109,y,L,b,yb-L,1,1,1,rounding,3,0,0.5152403116226196,0.0005174822290427983
110,ø,L,b,øb-L,1,1,1,rounding,3,0,0.46425729990005493,0.00040219107177108526
111,ɯ,L,b,ɯb-L,0,0,1,rounding,3,0,0.6079018115997314,0.0010828548111021519
112,i,H,g,ig-H,1,0,1,rounding,3,0,0.3982112407684326,0.0007307350169867277
113,a,H,g,ag-H,0,0,0,rounding,3,0,0.47182783484458923,7.72072744439356e-05
114,e,H,g,eg-H,1,0,0,rounding,3,0,0.36729201674461365,0.0006563199567608535
115,o,H,g,og-H,0,1,1,rounding,3,0,0.3188477158546448,0.0026363942306488752
116,u,H,g,ug-H,0,1,1,rounding,3,0,0.31365448236465454,0.0005716533050872386
117,y,H,g,yg-H,1,1,1,rounding,3,0,0.43555667996406555,0.0009739063680171967
118,ø,H,g,øg-H,1,1,1,rounding,3,0,0.3541843891143799,0.0028425760101526976
119,ɯ,H,g,ɯg-H,0,0,1,rounding,3,0,0.36907827854156494,7.969111175043508e-05
120,i,L,g,ig-L,1,0,1,rounding,3,0,0.40550681948661804,0.00028267502784729004
121,a,L,g,ag-L,0,0,0,rounding,3,0,0.38919970393180847,0.0010548587888479233
122,e,L,g,eg-L,1,0,0,rounding,3,0,0.34729453921318054,0.0007460227934643626
123,o,L,g,og-L,0,1,1,rounding,3,0,0.37412676215171814,0.0014331784332171082
124,u,L,g,ug-L,0,1,1,rounding,3,0,0.35217785835266113,0.00014386676775757223
125,y,L,g,yg-L,1,1,1,rounding,3,0,0.49254873394966125,0.0005070231854915619
126,ø,L,g,øg-L,1,1,1,rounding,3,0,0.4380393624305725,0.0022367422934621572
127,ɯ,L,g,ɯg-L,0,0,1,rounding,3,0,0.3428179621696472,0.00017745932564139366
128,i,H,d,id-H,1,0,1,rounding,3,0,0.2946271002292633,0.002217620611190796
129,a,H,d,ad-H,0,0,0,rounding,3,0,0.13067062199115753,0.0015270665753632784
130,e,H,d,ed-H,1,0,0,rounding,3,0,0.17899943888187408,0.0008125822059810162
131,o,H,d,od-H,0,1,1,rounding,3,0,0.15586546063423157,0.001067288569174707
132,u,H,d,ud-H,0,1,1,rounding,3,0,0.22746695578098297,0.0018939630826935172
133,y,H,d,yd-H,1,1,1,rounding,3,0,0.29892078042030334,0.0006321690743789077
134,ø,H,d,ød-H,1,1,1,rounding,3,0,0.2681077718734741,0.00250800047069788
135,ɯ,H,d,ɯd-H,0,0,1,rounding,3,0,0.1641075611114502,0.0010968430433422327
136,i,L,d,id-L,1,0,1,rounding,3,0,0.2975767254829407,0.0004615623620338738
137,a,L,d,ad-L,0,0,0,rounding,3,0,0.12345781922340393,0.0026277992874383926
138,e,L,d,ed-L,1,0,0,rounding,3,0,0.1802651584148407,9.909594518831e-05
139,o,L,d,od-L,0,1,1,rounding,3,0,0.13448162376880646,9.183854854200035e-05
140,u,L,d,ud-L,0,1,1,rounding,3,0,0.1941288858652115,0.001176471239887178
141,y,L,d,yd-L,1,1,1,rounding,3,0,0.31946519017219543,0.00022003951016813517
142,ø,L,d,ød-L,1,1,1,rounding,3,0,0.30514538288116455,0.0007748292991891503
143,ɯ,L,d,ɯd-L,0,0,1,rounding,3,0,0.14500609040260315,0.0005687270313501358
144,i,H,b,ib-H,1,0,1,rounding,4,0,0.5244051814079285,0.00016328401397913694
145,a,H,b,ab-H,0,0,0,rounding,4,0,0.5289472341537476,0.001601673779077828
146,e,H,b,eb-H,1,0,0,rounding,4,0,0.5126726627349854,3.442084198468365e-05
147,o,H,b,ob-H,0,1,1,rounding,4,0,0.25232037901878357,0.0016315467655658722
148,u,H,b,ub-H,0,1,1,rounding,4,0,0.2979491949081421,0.0021137488074600697
149,y,H,b,yb-H,1,1,1,rounding,4,0,0.4468249976634979,0.0006538937450386584
150,ø,H,b,øb-H,1,1,1,rounding,4,0,0.393096923828125,0.00043586804531514645
151,ɯ,H,b,ɯb-H,0,0,1,rounding,4,0,0.5502634644508362,0.00020407233387231827
152,i,L,b,ib-L,1,0,1,rounding,4,0,0.550942063331604,8.623735629953444e-05
153,a,L,b,ab-L,0,0,0,rounding,4,0,0.5804449915885925,0.00485719321295619
154,e,L,b,eb-L,1,0,0,rounding,4,0,0.546232283115387,0.0002030880277743563
