underlying	surface	root_indices	suffix_indices	word_indices	lip_output	tb_output
b-i	b-i	b_b	i_i	"b_b,i_i"	"11,-2,-2,11,11,11,11,11,11,11"	"10,7,4,4,4,10,10,10,10,10"
b-a	b-a	b_b	a_a	"b_b,a_a"	"11,-2,-2,11,11,11,11,11,11,11"	"10,13,16,16,16,10,10,10,10,10"
b-e	b-e	b_b	e_e	"b_b,e_e"	"11,-2,-2,11,11,11,11,11,11,11"	"10,9,8,8,8,10,10,10,10,10"
b-o	b-o	b_b	o_o	"b_b,o_o"	"11,-2,-2,5,5,11,11,11,11,11"	"10,9,8,8,8,10,10,10,10,10"
b-u	b-u	b_b	u_u	"b_b,u_u"	"11,-2,-2,5,5,11,11,11,11,11"	"10,7,4,4,4,10,10,10,10,10"
b-y	b-y	b_b	y_y	"b_b,y_y"	"11,-2,-2,5,5,11,11,11,11,11"	"10,7,4,4,4,10,10,10,10,10"
b-ø	b-ø	b_b	ø_ø	"b_b,ø_ø"	"11,-2,-2,5,5,11,11,11,11,11"	"10,9,8,8,8,10,10,10,10,10"
b-ɯ	b-ɯ	b_b	ɯ_ɯ	"b_b,ɯ_ɯ"	"11,-2,-2,11,11,11,11,11,11,11"	"10,7,4,4,4,10,10,10,10,10"
ib-H	ib-i	"i_ib,b_ib"	H_H	"i_ib,b_ib,H_H"	"11,11,11,11,11,-2,-2,11,11,11"	"10,7,4,4,4,4,4,4,4,10"
ab-H	ab-ɯ	"a_ab,b_ab"	H_H	"a_ab,b_ab,H_H"	"11,11,11,11,11,-2,-2,11,11,10"	"10,13,16,16,16,10,4,4,4,10"
eb-H	eb-i	"e_eb,b_eb"	H_H	"e_eb,b_eb,H_H"	"11,11,11,11,11,-2,-2,11,11,10"	"10,9,8,8,8,6,4,4,4,10"
ob-H	ob-u	"o_ob,b_ob"	H_H	"o_ob,b_ob,H_H"	"11,8,5,5,5,-2,-2,5,5,11"	"10,9,8,8,8,6,4,4,4,10"
ub-H	ub-u	"u_ub,b_ub"	H_H	"u_ub,b_ub,H_H"	"11,8,5,5,5,-2,-2,5,5,11"	"10,7,4,4,4,4,4,4,4,10"
yb-H	yb-y	"y_yb,b_yb"	H_H	"y_yb,b_yb,H_H"	"11,8,5,5,5,-2,-2,5,5,11"	"10,7,4,4,4,4,4,4,4,10"
øb-H	øb-y	"ø_øb,b_øb"	H_H	"ø_øb,b_øb,H_H"	"11,8,5,5,5,-2,-2,5,5,11"	"10,9,8,8,8,6,4,4,4,10"
ɯb-H	ɯb-ɯ	"ɯ_ɯb,b_ɯb"	H_H	"ɯ_ɯb,b_ɯb,H_H"	"11,11,11,11,11,-2,-2,11,11,10"	"10,7,4,4,4,4,4,4,4,10"
ib-L	ib-e	"i_ib,b_ib"	L_L	"i_ib,b_ib,L_L"	"11,11,11,11,11,-2,-2,11,11,11"	"10,7,4,4,4,6,8,8,8,10"
ab-L	ab-a	"a_ab,b_ab"	L_L	"a_ab,b_ab,L_L"	"11,11,11,11,11,-2,-2,11,11,11"	"10,13,16,16,16,16,16,16,16,10"
eb-L	eb-e	"e_eb,b_eb"	L_L	"e_eb,b_eb,L_L"	"11,11,11,11,11,-2,-2,11,11,11"	"10,9,8,8,8,8,8,8,8,10"
ob-L	ob-a	"o_ob,b_ob"	L_L	"o_ob,b_ob,L_L"	"11,5,5,5,5,-2,-2,11,11,11"	"10,9,8,8,8,12,16,16,16,10"
ub-L	ub-a	"u_ub,b_ub"	L_L	"u_ub,b_ub,L_L"	"11,5,5,5,5,-2,-2,11,11,11"	"10,7,4,4,4,10,16,16,16,10"
yb-L	yb-e	"y_yb,b_yb"	L_L	"y_yb,b_yb,L_L"	"11,5,5,5,5,-2,-2,11,11,11"	"10,7,4,4,4,6,8,8,8,10"
øb-L	øb-e	"ø_øb,b_øb"	L_L	"ø_øb,b_øb,L_L"	"11,5,5,5,5,-2,-2,11,11,11"	"10,9,8,8,8,8,8,8,8,10"
ɯb-L	ɯb-a	"ɯ_ɯb,b_ɯb"	L_L	"ɯ_ɯb,b_ɯb,L_L"	"11,11,11,11,11,-2,-2,11,11,11"	"10,7,4,4,4,10,16,16,16,10"
g-i	g-i	g_g	i_i	"g_g,i_i"	"11,11,11,11,11,11,11,11,11,11"	"10,-2,-2,1,4,10,10,10,10,10"
g-a	g-a	g_g	a_a	"g_g,a_a"	"11,11,11,11,11,11,11,11,11,11"	"10,-2,-2,7,16,10,10,10,10,10"
g-e	g-e	g_g	e_e	"g_g,e_e"	"11,11,11,11,11,11,11,11,11,11"	"10,-2,-2,3,8,10,10,10,10,10"
g-o	g-o	g_g	o_o	"g_g,o_o"	"11,5,5,5,5,11,11,11,11,11"	"10,-2,-2,3,8,10,10,10,10,10"
g-u	g-u	g_g	u_u	"g_g,u_u"	"11,5,5,5,5,11,11,11,11,11"	"10,-2,-2,1,4,10,10,10,10,10"
g-y	g-y	g_g	y_y	"g_g,y_y"	"11,5,5,5,5,11,11,11,11,11"	"10,-2,-2,1,4,10,10,10,10,10"
g-ø	g-ø	g_g	ø_ø	"g_g,ø_ø"	"11,5,5,5,5,11,11,11,11,11"	"10,-2,-2,3,8,10,10,10,10,10"
g-ɯ	g-ɯ	g_g	ɯ_ɯ	"g_g,ɯ_ɯ"	"11,11,11,11,11,11,11,11,11,11"	"10,-2,-2,1,4,10,10,10,10,10"
ig-H	ig-i	"i_ig,g_ig"	H_H	"i_ig,g_ig,H_H"	"11,11,11,11,11,11,11,11,11,11"	"10,7,4,4,4,-2,-2,1,4,10"
ag-H	ag-u	"a_ag,g_ag"	H_H	"a_ag,g_ag,H_H"	"11,11,11,11,11,11,11,11,11,11"	"10,13,16,16,16,-2,-2,1,4,10"
eg-H	eg-i	"e_eg,g_eg"	H_H	"e_eg,g_eg,H_H"	"11,11,11,11,11,11,11,11,11,11"	"10,9,8,8,8,-2,-2,1,4,10"
og-H	og-u	"o_og,g_og"	H_H	"o_og,g_og,H_H"	"11,5,5,5,5,5,5,5,5,11"	"10,9,8,8,8,-2,-2,1,4,10"
ug-H	ug-u	"u_ug,g_ug"	H_H	"u_ug,g_ug,H_H"	"11,5,5,5,5,5,5,5,5,11"	"10,7,4,4,4,-2,-2,1,4,10"
yg-H	yg-y	"y_yg,g_yg"	H_H	"y_yg,g_yg,H_H"	"11,5,5,5,5,5,5,5,5,11"	"10,7,4,4,4,-2,-2,1,4,10"
øg-H	øg-ø	"ø_øg,g_øg"	H_H	"ø_øg,g_øg,H_H"	"11,5,5,5,5,5,5,5,5,11"	"10,9,8,8,8,-2,-2,1,4,10"
ɯg-H	ɯg-ɯ	"ɯ_ɯg,g_ɯg"	H_H	"ɯ_ɯg,g_ɯg,H_H"	"11,11,11,11,11,11,11,11,11,11"	"10,7,4,4,4,-2,-2,1,4,10"
ig-L	ig-e	"i_ig,g_ig"	L_L	"i_ig,g_ig,L_L"	"11,11,11,11,11,11,11,11,11,11"	"10,7,4,4,4,-2,-2,3,8,10"
ag-L	ag-a	"a_ag,g_ag"	L_L	"a_ag,g_ag,L_L"	"11,11,11,11,11,11,11,11,11,11"	"10,13,16,16,16,-2,-2,7,16,10"
